Unnamed: 0,x,y
0,28.136519,39.358650
1,44.642131,58.214270
2,34.921629,42.039109
3,31.034296,38.283153
4,36.419871,65.971441
5,47.753390,32.368487
6,17.547226,61.427741
7,51.042230,54.128275
8,52.381297,58.634855
9,48.603323,31.903506
10,23.617035,53.454882
11,30.820994,74.304990
12,56.469151,42.933859
13,64.155852,49.071143
14,9.454737,63.815709
15,43.196988,64.477585
16,41.953967,69.860938
17,62.048784,54.023277
18,41.040148,53.347365
19,40.687668,42.136996
20,24.733568,47.016831
21,37.834816,33.076629
22,56.627763,59.305950
23,16.595418,60.329872
24,42.683366,48.364455
25,43.329045,67.829819
26,24.879793,57.458169
27,37.371988,46.554562
28,48.192002,69.054392
29,19.699196,49.575103
30,40.853816,91.583970
31,34.304969,46.598722
32,36.013453,51.356488
33,44.796056,72.130341
34,45.785978,42.821240
35,47.270655,55.942098
36,26.012582,37.555196
37,55.127476,27.758556
38,32.286860,40.379173
39,57.362468,65.564030
40,28.763585,56.980033
41,41.047112,48.503444
42,39.995061,40.605599
43,29.848896,59.003860
44,43.947487,32.934433
45,31.520639,53.657533
46,48.721878,39.673877
47,14.942793,33.696400
48,23.328012,48.188132
49,44.432444,37.671211
50,67.351529,54.811095
51,43.520199,59.829705
52,54.820026,43.981639
53,37.866082,68.186104
54,39.593818,47.838463
55,13.420338,52.269809
56,45.520644,55.989907
57,34.864970,56.706993
58,19.558492,34.401637
59,50.870660,27.809333
60,12.982078,48.313661
61,29.268907,55.336695
62,53.125832,43.499219
63,38.610996,38.849585
64,32.583589,50.097232
65,49.788372,42.655730
66,34.544541,46.340480
67,48.248293,50.826519
68,49.192733,45.180404
69,28.989064,52.022068
70,36.704360,51.028902
71,42.321740,59.675708
72,15.629127,41.191221
73,35.465079,38.019493
74,42.623191,58.286242
75,31.542662,57.318192
76,42.428101,51.995285
77,35.105032,83.521543
78,70.374641,54.299190
79,44.907566,55.375447
80,47.424933,71.361426
81,25.179717,52.321176
82,29.642742,73.001469
83,27.544506,40.301829
84,34.889641,60.649328
85,34.622367,62.890052
86,43.186919,50.152642
87,39.261299,49.775464
88,22.929030,56.128364
89,53.836958,51.513517
90,23.148626,45.192079
91,43.733706,39.749785
92,45.674761,56.074788
93,35.610444,46.359018
94,33.640627,57.732104
95,41.871191,38.085057
96,23.139546,33.462860
97,62.363011,32.748376
98,47.591493,43.950146
99,50.585855,38.032717
100,32.559563,38.062652
101,37.886447,38.879463
102,25.424901,52.037207
103,12.140283,49.472335
104,36.746027,45.152576
105,37.240042,44.686543
106,38.223890,46.936212
107,49.506938,52.694238
108,13.276994,66.889447
109,35.783726,59.075149
110,42.866437,40.217512
111,53.191097,55.040412
112,40.481834,60.928329
113,26.720607,57.934720
114,32.795740,60.819151
115,54.059797,43.245782
116,46.975214,42.791117
117,28.516596,49.804009
118,51.613996,46.373568
119,37.275527,35.579857
120,45.816435,39.162419
121,52.123056,48.745043
122,31.505647,60.205040
123,48.397795,74.333241
124,51.093962,67.942026
125,47.303389,41.925318
126,41.801701,49.425353
127,24.902556,43.474562
128,36.630162,48.208140
129,27.439237,61.591609
130,36.135497,47.921437
131,57.006859,58.584952
132,48.139166,55.496697
133,68.218529,58.101756
134,11.281370,43.001582
135,39.012545,57.089844
136,45.974561,38.416825
137,23.366221,73.105325
138,44.935294,36.146854
139,41.605244,55.078584
140,42.938782,56.375477
141,23.077528,47.315460
142,31.743574,24.725524
143,46.831881,55.272761
144,48.909637,26.470273
145,32.938795,66.522928
146,58.713756,54.407422
147,14.144655,59.294964
148,18.174574,61.278213
149,65.724624,68.466441
150,24.320338,43.528896
151,29.437388,25.540881
152,61.327573,50.429149
153,57.319853,51.420725
154,36.826571,42.118934
155,33.653684,56.546769
156,37.882617,35.625491
157,26.214337,77.873067
158,26.344378,68.816694
159,48.709373,57.061356
160,43.282093,82.946057
161,50.281211,60.633662
162,36.197624,6.879546
163,40.692839,47.168013
164,49.954119,77.321272
165,59.334377,51.965276
166,53.359334,33.660901
167,31.921867,72.246892
168,23.426511,39.038669
